,word,wordcount,percentage
2539,minutes,21,5.874701019680249e-05
353,borosilicate,21,5.874701019680249e-05
1050,folio,21,5.874701019680249e-05
1836,powder,20,5.594953352076427e-05
1385,lenticular,20,5.594953352076427e-05
1760,incised,20,5.594953352076427e-05
91,stock,20,5.594953352076427e-05
16,airbrush,20,5.594953352076427e-05
386,cane,20,5.594953352076427e-05
379,glides,20,5.594953352076427e-05
421,twine,20,5.594953352076427e-05
636,concrete,20,5.594953352076427e-05
2141,000,20,5.594953352076427e-05
1017,publishers,19,5.315205684472606e-05
240,diecast,19,5.315205684472606e-05
3535,vhs,19,5.315205684472606e-05
197,polystyrene,19,5.315205684472606e-05
2583,alkyd,19,5.315205684472606e-05
427,raffia,19,5.315205684472606e-05
1083,insert,19,5.315205684472606e-05
687,bulb,19,5.315205684472606e-05
1785,scroll,19,5.315205684472606e-05
1205,dust,19,5.315205684472606e-05
545,interior,19,5.315205684472606e-05
2166,prints\r\n,19,5.315205684472606e-05
1319,masthead,19,5.315205684472606e-05
304,seat,19,5.315205684472606e-05
1840,band,19,5.315205684472606e-05
1954,sewn,18,5.0354580168687844e-05
2055,ambrotype,18,5.0354580168687844e-05
2302,wrapped,18,5.0354580168687844e-05
2041,polacolor,18,5.0354580168687844e-05
3231,kodak,18,5.0354580168687844e-05
1024,japan,18,5.0354580168687844e-05
1332,executed,18,5.0354580168687844e-05
375,bent,18,5.0354580168687844e-05
2075,platinumpalladium,18,5.0354580168687844e-05
1263,scorper,18,5.0354580168687844e-05
325,fiberglassreinforced,18,5.0354580168687844e-05
3287,untitled,18,5.0354580168687844e-05
3021,rodemeyer,18,5.0354580168687844e-05
1775,mulberry,17,4.755710349264963e-05
319,corrugated,17,4.755710349264963e-05
443,honduras,17,4.755710349264963e-05
2292,vinylcovered,17,4.755710349264963e-05
384,stained,17,4.755710349264963e-05
141,covered,17,4.755710349264963e-05
256,anodized,17,4.755710349264963e-05
831,electric,17,4.755710349264963e-05
923,gouachelithograph,17,4.755710349264963e-05
113,music,17,4.755710349264963e-05
1766,lining,17,4.755710349264963e-05
1877,fat,17,4.755710349264963e-05
557,opaque,17,4.755710349264963e-05
457,finish,17,4.755710349264963e-05
2051,glassplate,17,4.755710349264963e-05
315,beechwood,17,4.755710349264963e-05
495,chromed,17,4.755710349264963e-05
492,nickel,17,4.755710349264963e-05
887,art,16,4.4759626816611415e-05
1074,proof,16,4.4759626816611415e-05
745,high,16,4.4759626816611415e-05
2464,photoetchings\r\n,16,4.4759626816611415e-05
2591,rock,16,4.4759626816611415e-05
271,rosewood,16,4.4759626816611415e-05
160,electrostatic,16,4.4759626816611415e-05
324,legs,16,4.4759626816611415e-05
447,moldblown,16,4.4759626816611415e-05
1065,onto,16,4.4759626816611415e-05
320,fiberboard,16,4.4759626816611415e-05
365,plated,16,4.4759626816611415e-05
1829,assemblage,16,4.4759626816611415e-05
342,lurex,16,4.4759626816611415e-05
3413,min,16,4.4759626816611415e-05
3429,sealed,16,4.4759626816611415e-05
2645,display,16,4.4759626816611415e-05
2108,parmelian,16,4.4759626816611415e-05
978,typescript,16,4.4759626816611415e-05
988,doublepage,16,4.4759626816611415e-05
1058,zdanevich,16,4.4759626816611415e-05
237,housing,15,4.19621501405732e-05
1048,comic,15,4.19621501405732e-05
2208,seed,15,4.19621501405732e-05
2101,boxed,15,4.19621501405732e-05
3115,altered,15,4.19621501405732e-05
1224,karl,15,4.19621501405732e-05
1848,glue,15,4.19621501405732e-05
1918,board\r\n,15,4.19621501405732e-05
193,stick,15,4.19621501405732e-05
396,pottery,15,4.19621501405732e-05
1018,device,15,4.19621501405732e-05
1779,egg,15,4.19621501405732e-05
3243,copies,15,4.19621501405732e-05
2293,attaché,15,4.19621501405732e-05
3960,manifesto,15,4.19621501405732e-05
2643,limestone,15,4.19621501405732e-05
2985,zipatone,15,4.19621501405732e-05
1788,soot,15,4.19621501405732e-05
2020,cyanotype,15,4.19621501405732e-05
2010,print\r\n,15,4.19621501405732e-05
542,stand,15,4.19621501405732e-05
411,cushion,15,4.19621501405732e-05
135,taped,14,3.916467346453499e-05
1286,edition,14,3.916467346453499e-05
309,bakelite,14,3.916467346453499e-05
390,horsehair,14,3.916467346453499e-05
2622,scraps,14,3.916467346453499e-05
211,styrene,14,3.916467346453499e-05
1267,monograph,14,3.916467346453499e-05
1425,exlibris,14,3.916467346453499e-05
551,dried,14,3.916467346453499e-05
1798,incising,14,3.916467346453499e-05
505,unglazed,14,3.916467346453499e-05
1531,arches,14,3.916467346453499e-05
1138,recording,14,3.916467346453499e-05
2482,colohon,14,3.916467346453499e-05
2022,collodion,14,3.916467346453499e-05
3254,onesheet,14,3.916467346453499e-05
799,enamelled,14,3.916467346453499e-05
3539,charlie,14,3.916467346453499e-05
1207,inserted,14,3.916467346453499e-05
1155,repeated,14,3.916467346453499e-05
665,pvc,14,3.916467346453499e-05
377,shockmounts,14,3.916467346453499e-05
1178,leaves,14,3.916467346453499e-05
671,sections,14,3.916467346453499e-05
2023,handapplied,14,3.916467346453499e-05
1882,handmade,14,3.916467346453499e-05
1880,button,13,3.636719678849678e-05
3050,jar,13,3.636719678849678e-05
1254,textile,13,3.636719678849678e-05
2675,cotta,13,3.636719678849678e-05
1180,uncut,13,3.636719678849678e-05
570,bone,13,3.636719678849678e-05
2674,terra,13,3.636719678849678e-05
3746,felixmüller,13,3.636719678849678e-05
1401,paintings,13,3.636719678849678e-05
569,japanese,13,3.636719678849678e-05
1606,softground,13,3.636719678849678e-05
259,polypropylene,13,3.636719678849678e-05
337,chenille,13,3.636719678849678e-05
350,rattan,13,3.636719678849678e-05
1129,program,13,3.636719678849678e-05
2318,fish,13,3.636719678849678e-05
2270,cutandfolded,13,3.636719678849678e-05
1307,telegram,13,3.636719678849678e-05
3408,mimeographed,13,3.636719678849678e-05
4013,0inch,13,3.636719678849678e-05
2284,chocolate,13,3.636719678849678e-05
2265,screenprintoveroffset,13,3.636719678849678e-05
437,ebony,13,3.636719678849678e-05
308,silverplated,13,3.636719678849678e-05
1926,playing,13,3.636719678849678e-05
1523,water,13,3.636719678849678e-05
3069,dvd,13,3.636719678849678e-05
3745,conrad,13,3.636719678849678e-05
1545,embellished,13,3.636719678849678e-05
329,handblown,13,3.636719678849678e-05
2310,napkin,12,3.3569720112458565e-05
1030,tipped,12,3.3569720112458565e-05
560,chloride,12,3.3569720112458565e-05
659,parchment,12,3.3569720112458565e-05
500,spring,12,3.3569720112458565e-05
815,pins,12,3.3569720112458565e-05
2360,cellocuts,12,3.3569720112458565e-05
2496,key,12,3.3569720112458565e-05
1011,chinamarker,12,3.3569720112458565e-05
406,mount,12,3.3569720112458565e-05
213,grey,12,3.3569720112458565e-05
1805,powdered,12,3.3569720112458565e-05
2065,solarized,12,3.3569720112458565e-05
490,vitreous,12,3.3569720112458565e-05
278,dark,12,3.3569720112458565e-05
1186,except,12,3.3569720112458565e-05
2610,fluorescent,12,3.3569720112458565e-05
2306,empty,12,3.3569720112458565e-05
464,die,12,3.3569720112458565e-05
